[2021-12-20 04:46:07 | info | root]: Now training of Implicit-GON is starting. We provide the parameters as the following
[2021-12-20 12:45:37 | info | root]: Epoch : 58
[2021-12-20 12:45:37 | info | root]: Train Loss : 0.0055821887
[2021-12-20 12:45:37 | info | root]: Test Loss : 0.0056259916
[2021-12-20 12:52:48 | info | root]: Epoch : 59
[2021-12-20 12:52:48 | info | root]: Train Loss : 0.005561928
[2021-12-20 12:52:48 | info | root]: Test Loss : 0.0055801505
[2021-12-20 13:00:01 | info | root]: Epoch : 60
[2021-12-20 13:00:01 | info | root]: Train Loss : 0.0057998695
[2021-12-20 13:00:01 | info | root]: Test Loss : 0.0058026677
[2021-12-20 13:07:15 | info | root]: Epoch : 61
[2021-12-20 13:07:15 | info | root]: Train Loss : 0.0055988715
[2021-12-20 13:07:15 | info | root]: Test Loss : 0.005644233
[2021-12-20 13:14:24 | info | root]: Epoch : 62
[2021-12-20 13:14:24 | info | root]: Train Loss : 0.005414684
[2021-12-20 13:14:24 | info | root]: Test Loss : 0.0054619974
[2021-12-20 13:21:32 | info | root]: Epoch : 63
[2021-12-20 13:21:32 | info | root]: Train Loss : 0.005428404
[2021-12-20 13:21:32 | info | root]: Test Loss : 0.005479463
[2021-12-20 13:31:44 | info | root]: Epoch : 64
[2021-12-20 13:31:44 | info | root]: Train Loss : 0.0055008107
[2021-12-20 13:31:44 | info | root]: Test Loss : 0.005532538
[2021-12-20 13:40:38 | info | root]: Epoch : 65
[2021-12-20 13:40:38 | info | root]: Train Loss : 0.0054182773
[2021-12-20 13:40:38 | info | root]: Test Loss : 0.0054537333
[2021-12-20 13:47:49 | info | root]: Epoch : 66
[2021-12-20 13:47:49 | info | root]: Train Loss : 0.0055399034
[2021-12-20 13:47:49 | info | root]: Test Loss : 0.0055692517
[2021-12-20 13:57:54 | info | root]: Epoch : 67
[2021-12-20 13:57:54 | info | root]: Train Loss : 0.005539041
[2021-12-20 13:57:54 | info | root]: Test Loss : 0.005558777
[2021-12-20 14:05:04 | info | root]: Epoch : 68
[2021-12-20 14:05:04 | info | root]: Train Loss : 0.0055433265
[2021-12-20 14:05:04 | info | root]: Test Loss : 0.005580508
[2021-12-20 14:12:14 | info | root]: Epoch : 69
[2021-12-20 14:12:14 | info | root]: Train Loss : 0.005461433
[2021-12-20 14:12:14 | info | root]: Test Loss : 0.0055115256
[2021-12-20 14:22:07 | info | root]: Epoch : 70
[2021-12-20 14:22:07 | info | root]: Train Loss : 0.005302444
[2021-12-20 14:22:07 | info | root]: Test Loss : 0.005344109
[2021-12-20 14:33:45 | info | root]: Epoch : 71
[2021-12-20 14:33:45 | info | root]: Train Loss : 0.0054472988
[2021-12-20 14:33:45 | info | root]: Test Loss : 0.00550233
[2021-12-20 14:40:54 | info | root]: Epoch : 72
[2021-12-20 14:40:54 | info | root]: Train Loss : 0.005323466
[2021-12-20 14:40:54 | info | root]: Test Loss : 0.0053565428
[2021-12-20 14:51:57 | info | root]: Epoch : 73
