[2021-12-20 04:46:31 | info | root]: Now training of Implicit-GON is starting. We provide the parameters as the following
[2021-12-20 11:10:31 | info | root]: Test Loss : 0.010331867
[2021-12-20 11:20:10 | info | root]: Epoch : 49
[2021-12-20 11:20:10 | info | root]: Train Loss : 0.010132519
[2021-12-20 11:20:10 | info | root]: Test Loss : 0.010366603
[2021-12-20 11:29:15 | info | root]: Epoch : 50
[2021-12-20 11:29:15 | info | root]: Train Loss : 0.010178112
[2021-12-20 11:29:15 | info | root]: Test Loss : 0.010411266
[2021-12-20 11:37:52 | info | root]: Epoch : 51
[2021-12-20 11:37:52 | info | root]: Train Loss : 0.009998797
[2021-12-20 11:37:52 | info | root]: Test Loss : 0.010219551
[2021-12-20 11:46:25 | info | root]: Epoch : 52
[2021-12-20 11:46:25 | info | root]: Train Loss : 0.010000171
[2021-12-20 11:46:25 | info | root]: Test Loss : 0.010220564
[2021-12-20 11:54:30 | info | root]: Epoch : 53
[2021-12-20 11:54:30 | info | root]: Train Loss : 0.0102894055
[2021-12-20 11:54:30 | info | root]: Test Loss : 0.010522487
[2021-12-20 12:01:22 | info | root]: Epoch : 54
[2021-12-20 12:01:22 | info | root]: Train Loss : 0.009979598
[2021-12-20 12:01:22 | info | root]: Test Loss : 0.010191899
[2021-12-20 12:10:44 | info | root]: Epoch : 55
[2021-12-20 12:10:44 | info | root]: Train Loss : 0.009807502
[2021-12-20 12:10:44 | info | root]: Test Loss : 0.0100357225
[2021-12-20 12:17:52 | info | root]: Epoch : 56
[2021-12-20 12:17:52 | info | root]: Train Loss : 0.009805177
[2021-12-20 12:17:52 | info | root]: Test Loss : 0.010045788
[2021-12-20 12:24:47 | info | root]: Epoch : 57
[2021-12-20 12:24:47 | info | root]: Train Loss : 0.009658309
[2021-12-20 12:24:47 | info | root]: Test Loss : 0.009891316
[2021-12-20 12:35:48 | info | root]: Epoch : 58
[2021-12-20 12:35:48 | info | root]: Train Loss : 0.010005331
[2021-12-20 12:35:48 | info | root]: Test Loss : 0.010204531
[2021-12-20 12:42:41 | info | root]: Epoch : 59
[2021-12-20 12:42:41 | info | root]: Train Loss : 0.009793592
[2021-12-20 12:42:41 | info | root]: Test Loss : 0.010006755
[2021-12-20 12:51:23 | info | root]: Epoch : 60
[2021-12-20 12:51:23 | info | root]: Train Loss : 0.009600627
[2021-12-20 12:51:23 | info | root]: Test Loss : 0.0098324865
